+---------------+---------+-------------+
| start_of_week | step_id | total_leads |
| 2022-09-05    | 3       | 67          |
| 2022-09-05    | 4       | 50          |
| 2022-09-05    | 5       | 8           |
| 2022-09-05    | 6       | 8           |
| 2022-09-05    | 7       | 11          |
| 2022-09-12    | 0       | 40          |
| 2022-09-12    | 1       | 62          |
| 2022-09-12    | 2       | 58          |
| 2022-09-12    | 3       | 65          |
| 2022-09-12    | 4       | 85          |
| 2022-09-12    | 5       | 37          |
| 2022-09-12    | 6       | 12          |
| 2022-09-12    | 7       | 2           |
| 2022-09-19    | 0       | 72          |
| 2022-09-19    | 1       | 83          |
| 2022-09-19    | 2       | 44          |
| 2022-09-19    | 3       | 30          |
| 2022-09-19    | 4       | 66          |
| 2022-09-19    | 5       | 56          |
| 2022-09-19    | 6       | 48          |
| 2022-09-19    | 7       | 9           |
| 2022-09-26    | 0       | 105         |
| 2022-09-26    | 1       | 134         |
| 2022-09-26    | 2       | 83          |
| 2022-09-26    | 3       | 48          |
| 2022-09-26    | 4       | 43          |
| 2022-09-26    | 5       | 17          |
| 2022-09-26    | 6       | 49          |
| 2022-09-26    | 7       | 39          |
| 2022-10-03    | 0       | 56          |
| 2022-10-03    | 1       | 112         |
| 2022-10-03    | 2       | 105         |
| 2022-10-03    | 3       | 90          |
| 2022-10-03    | 4       | 88          |
| 2022-10-03    | 5       | 26          |
| 2022-10-03    | 6       | 24          |
| 2022-10-03    | 7       | 41          |
| 2022-10-10    | 0       | 22          |
| 2022-10-10    | 1       | 49          |
| 2022-10-10    | 2       | 58          |
| 2022-10-10    | 3       | 51          |
| 2022-10-10    | 4       | 104         |
| 2022-10-10    | 5       | 59          |
| 2022-10-10    | 6       | 48          |
| 2022-10-10    | 7       | 17          |
| 2022-10-17    | 0       | 28          |
| 2022-10-17    | 1       | 36          |
| 2022-10-17    | 2       | 22          |
| 2022-10-17    | 3       | 21          |
| 2022-10-17    | 4       | 61          |
| 2022-10-17    | 5       | 55          |
| 2022-10-17    | 6       | 73          |
| 2022-10-17    | 7       | 40          |
| 2022-10-24    | 0       | 43          |
| 2022-10-24    | 1       | 52          |
| 2022-10-24    | 2       | 27          |
| 2022-10-24    | 3       | 18          |
| 2022-10-24    | 4       | 24          |
| 2022-10-24    | 5       | 15          |
| 2022-10-24    | 6       | 47          |
| 2022-10-24    | 7       | 58          |
| 2022-10-31    | 0       | 52          |
| 2022-10-31    | 1       | 74          |
| 2022-10-31    | 2       | 50          |
| 2022-10-31    | 3       | 31          |
| 2022-10-31    | 4       | 25          |
| 2022-10-31    | 5       | 7           |
| 2022-10-31    | 6       | 10          |
| 2022-10-31    | 7       | 36          |
| 2022-11-07    | 0       | 20          |
| 2022-11-07    | 1       | 44          |
| 2022-11-07    | 2       | 48          |
| 2022-11-07    | 3       | 47          |
| 2022-11-07    | 4       | 54          |
| 2022-11-07    | 5       | 18          |
| 2022-11-07    | 6       | 14          |
| 2022-11-07    | 7       | 6           |
| 2022-11-14    | 0       | 13          |
| 2022-11-14    | 1       | 25          |
| 2022-11-14    | 2       | 20          |
| 2022-11-14    | 3       | 17          |
| 2022-11-14    | 4       | 45          |
| 2022-11-14    | 5       | 34          |
| 2022-11-14    | 6       | 33          |
| 2022-11-14    | 7       | 13          |
| 2022-11-21    | 0       | 29          |
| 2022-11-21    | 1       | 33          |
| 2022-11-21    | 2       | 15          |
| 2022-11-21    | 3       | 14          |
| 2022-11-21    | 4       | 18          |
| 2022-11-21    | 5       | 17          |
| 2022-11-21    | 6       | 33          |
| 2022-11-21    | 7       | 25          |
| 2022-11-28    | 0       | 26          |
| 2022-11-28    | 1       | 40          |
| 2022-11-28    | 2       | 29          |
| 2022-11-28    | 3       | 17          |
| 2022-11-28    | 4       | 20          |
| 2022-11-28    | 5       | 7           |
| 2022-11-28    | 6       | 14          |
| 2022-11-28    | 7       | 20          |
| 2022-12-05    | 0       | 2           |
| 2022-12-05    | 1       | 13          |
| 2022-12-05    | 2       | 21          |
| 2022-12-05    | 3       | 19          |
| 2022-12-05    | 4       | 27          |
| 2022-12-05    | 5       | 12          |
| 2022-12-05    | 6       | 13          |
| 2022-12-05    | 7       | 8           |
| 2022-12-12    | 1       | 1           |
| 2022-12-12    | 2       | 3           |
| 2022-12-12    | 3       | 5           |
| 2022-12-12    | 4       | 20          |
| 2022-12-12    | 5       | 12          |
| 2022-12-12    | 6       | 18          |
| 2022-12-12    | 7       | 12          |
| 2022-12-19    | 4       | 5           |
| 2022-12-19    | 5       | 4           |
| 2022-12-19    | 6       | 12          |
| 2022-12-19    | 7       | 17          |
| 2022-12-26    | 6       | 3           |
| 2022-12-26    | 7       | 10          |
+---------------+---------+-------------+
