┌──────────┬───────────────────────────────┬─────────────────────┬───────┬────────────────────────────┐
│ leads_id │             stage             │      timestamp      │ state │           reason           │
│ 289      │ initial_communication_success │ 2021-03-02 09:24:44 │ 1     │                            │
│ 289      │ approach_success              │ 2021-03-03 16:39:44 │ 1     │                            │
│ 289      │ discussion_success            │ 2021-03-09 14:16:56 │ 1     │                            │
│ 289      │ offer_sent                    │ 2021-03-10 10:12:12 │ 1     │                            │
│ 289      │ quotation_recieved            │ 2021-03-17 10:39:25 │ 1     │                            │
│ 289      │ deal_won                      │ 2021-03-23 16:46:33 │ 1     │                            │
│ 290      │ leads_registered              │ 2021-02-23 14:27:36 │ 1     │                            │
│ 290      │ leads_qualification           │ 2021-02-26 13:56:42 │ 1     │                            │
│ 290      │ initial_communication_success │ 2021-03-01 16:13:28 │ 0     │ not answered               │
│ 291      │ leads_registered              │ 2021-02-23 16:37:29 │ 1     │                            │
│ 291      │ leads_qualification           │ 2021-02-26 16:05:43 │ 1     │                            │
│ 291      │ initial_communication_success │ 2021-03-01 10:07:16 │ 0     │ not answered               │
│ 292      │ leads_registered              │ 2021-02-23 17:55:09 │ 1     │                            │
│ 292      │ leads_qualification           │ 2021-03-01 16:18:00 │ 1     │                            │
│ 292      │ initial_communication_success │ 2021-03-02 14:38:37 │ 1     │                            │
│ 292      │ approach_success              │ 2021-03-03 16:46:15 │ 1     │                            │
│ 292      │ discussion_success            │ 2021-03-11 13:09:05 │ 1     │                            │
│ 292      │ offer_sent                    │ 2021-03-15 17:27:53 │ 0     │ not answered               │
│ 293      │ leads_registered              │ 2021-02-24 17:53:42 │ 1     │                            │
│ 294      │ leads_registered              │ 2021-02-25 10:00:48 │ 1     │                            │
│ 294      │ leads_qualification           │ 2021-03-02 15:56:00 │ 1     │                            │
│ 294      │ initial_communication_success │ 2021-03-05 10:51:47 │ 0     │ not interested             │
│ 295      │ leads_registered              │ 2021-02-25 10:16:30 │ 1     │                            │
│ 295      │ leads_qualification           │ 2021-03-02 16:35:29 │ 1     │                            │
│ 295      │ initial_communication_success │ 2021-03-03 17:51:55 │ 1     │                            │
│ 295      │ approach_success              │ 2021-03-05 16:35:51 │ 1     │                            │
│ 295      │ discussion_success            │ 2021-03-11 13:04:16 │ 1     │                            │
│ 295      │ offer_sent                    │ 2021-03-15 17:08:26 │ 1     │                            │
│ 295      │ quotation_recieved            │ 2021-03-19 10:32:17 │ 1     │                            │
│ 295      │ deal_won                      │ 2021-03-24 11:58:28 │ 1     │                            │
│ 296      │ leads_registered              │ 2021-02-25 14:22:50 │ 1     │                            │
│ 296      │ leads_qualification           │ 2021-03-02 14:42:18 │ 1     │                            │
│ 296      │ initial_communication_success │ 2021-03-05 11:59:46 │ 1     │                            │
│ 296      │ approach_success              │ 2021-03-08 13:01:33 │ 0     │ not interested             │
│ 297      │ leads_registered              │ 2021-02-25 15:01:21 │ 1     │                            │
│ 297      │ leads_qualification           │ 2021-03-02 14:00:30 │ 1     │                            │
│ 297      │ initial_communication_success │ 2021-03-05 12:36:48 │ 1     │                            │
│ 297      │ approach_success              │ 2021-03-08 10:42:48 │ 1     │                            │
│ 297      │ discussion_success            │ 2021-03-16 14:28:47 │ 1     │                            │
│ 297      │ offer_sent                    │ 2021-03-19 13:07:34 │ 1     │                            │
│ 297      │ quotation_recieved            │ 2021-03-29 14:50:58 │ 1     │                            │
│ 297      │ deal_won                      │ 2021-04-05 13:15:38 │ 1     │                            │
│ 298      │ leads_registered              │ 2021-02-26 09:11:11 │ 1     │                            │
│ 298      │ leads_qualification           │ 2021-03-05 09:53:41 │ 1     │                            │
│ 298      │ initial_communication_success │ 2021-03-08 11:09:54 │ 1     │                            │
│ 298      │ approach_success              │ 2021-03-11 13:07:56 │ 0     │ not interested             │
│ 299      │ leads_registered              │ 2021-02-26 09:17:05 │ 1     │                            │
│ 299      │ leads_qualification           │ 2021-03-02 13:18:40 │ 1     │                            │
│ 299      │ initial_communication_success │ 2021-03-04 11:52:37 │ 1     │                            │
│ 299      │ approach_success              │ 2021-03-05 16:51:25 │ 1     │                            │
│ 299      │ discussion_success            │ 2021-03-12 17:58:33 │ 0     │ price not fit              │
│ 300      │ leads_registered              │ 2021-02-26 09:34:14 │ 1     │                            │
│ 301      │ leads_registered              │ 2021-02-26 09:58:07 │ 1     │                            │
│ 301      │ leads_qualification           │ 2021-03-03 17:11:50 │ 1     │                            │
│ 301      │ initial_communication_success │ 2021-03-05 17:33:09 │ 1     │                            │
│ 301      │ approach_success              │ 2021-03-08 14:47:44 │ 1     │                            │
│ 301      │ discussion_success            │ 2021-03-12 17:49:49 │ 1     │                            │
│ 301      │ offer_sent                    │ 2021-03-16 14:23:30 │ 1     │                            │
│ 301      │ quotation_recieved            │ 2021-03-22 09:32:17 │ 1     │                            │
│ 301      │ deal_won                      │ 2021-03-26 10:15:48 │ 1     │                            │
│ 302      │ leads_registered              │ 2021-02-26 10:17:21 │ 1     │                            │
│ 302      │ leads_qualification           │ 2021-03-03 16:06:40 │ 1     │                            │
│ 302      │ initial_communication_success │ 2021-03-05 14:47:39 │ 1     │                            │
│ 302      │ approach_success              │ 2021-03-08 13:24:30 │ 0     │ not answered               │
│ 303      │ leads_registered              │ 2021-02-26 10:45:45 │ 1     │                            │
│ 303      │ leads_qualification           │ 2021-03-05 12:06:12 │ 0     │ not selected               │
│ 304      │ leads_registered              │ 2021-02-26 10:53:02 │ 1     │                            │
│ 304      │ leads_qualification           │ 2021-03-05 16:35:42 │ 1     │                            │
│ 304      │ initial_communication_success │ 2021-03-08 12:40:38 │ 1     │                            │
│ 304      │ approach_success              │ 2021-03-09 12:49:22 │ 1     │                            │
│ 304      │ discussion_success            │ 2021-03-16 17:28:37 │ 1     │                            │
│ 304      │ offer_sent                    │ 2021-03-17 14:05:08 │ 0     │ not answered               │
│ 305      │ leads_registered              │ 2021-02-26 12:50:37 │ 1     │                            │
│ 305      │ leads_qualification           │ 2021-03-05 10:23:50 │ 1     │                            │
│ 305      │ initial_communication_success │ 2021-03-08 12:44:11 │ 0     │ not answered               │
│ 306      │ leads_registered              │ 2021-02-26 16:10:52 │ 1     │                            │
│ 306      │ leads_qualification           │ 2021-03-01 16:45:20 │ 1     │                            │
│ 306      │ initial_communication_success │ 2021-03-02 16:54:27 │ 0     │ not answered               │
│ 307      │ leads_registered              │ 2021-02-26 16:11:33 │ 1     │                            │
│ 307      │ leads_qualification           │ 2021-03-05 09:58:08 │ 1     │                            │
│ 307      │ initial_communication_success │ 2021-03-08 17:14:43 │ 0     │ not answered               │
│ 308      │ leads_registered              │ 2021-02-26 16:25:28 │ 1     │                            │
│ 308      │ leads_qualification           │ 2021-03-02 15:10:21 │ 1     │                            │
│ 308      │ initial_communication_success │ 2021-03-05 16:43:24 │ 1     │                            │
│ 308      │ approach_success              │ 2021-03-08 11:08:02 │ 1     │                            │
│ 308      │ discussion_success            │ 2021-03-12 17:30:02 │ 1     │                            │
│ 308      │ offer_sent                    │ 2021-03-15 12:46:40 │ 1     │                            │
│ 308      │ quotation_recieved            │ 2021-03-19 09:09:41 │ 1     │                            │
│ 308      │ deal_won                      │ 2021-03-24 16:51:02 │ 1     │                            │
│ 309      │ leads_registered              │ 2021-03-01 09:58:00 │ 1     │                            │
│ 309      │ leads_qualification           │ 2021-03-08 14:43:09 │ 1     │                            │
│ 309      │ initial_communication_success │ 2021-03-09 14:18:26 │ 1     │                            │
│ 309      │ approach_success              │ 2021-03-10 09:48:17 │ 0     │ not answered               │
│ 310      │ leads_registered              │ 2021-03-01 11:15:07 │ 1     │                            │
│ 310      │ leads_qualification           │ 2021-03-08 16:40:59 │ 1     │                            │
│ 310      │ initial_communication_success │ 2021-03-11 17:39:20 │ 1     │                            │
│ 310      │ approach_success              │ 2021-03-12 14:06:20 │ 1     │                            │
│ 310      │ discussion_success            │ 2021-03-18 12:47:44 │ 1     │                            │
│ 310      │ offer_sent                    │ 2021-03-19 17:06:13 │ 0     │ not answered               │
│ 311      │ leads_registered              │ 2021-03-01 14:31:25 │ 1     │                            │
│ 311      │ leads_qualification           │ 2021-03-08 09:16:45 │ 1     │                            │
│ 311      │ initial_communication_success │ 2021-03-09 16:58:50 │ 1     │                            │
│ 311      │ approach_success              │ 2021-03-11 15:16:11 │ 1     │                            │
│ 311      │ discussion_success            │ 2021-03-19 10:47:49 │ 0     │ not answered               │
│ 312      │ leads_registered              │ 2021-03-01 15:05:15 │ 1     │                            │
│ 312      │ leads_qualification           │ 2021-03-05 09:06:54 │ 1     │                            │
│ 312      │ initial_communication_success │ 2021-03-08 13:21:56 │ 1     │                            │
│ 312      │ approach_success              │ 2021-03-09 15:55:44 │ 1     │                            │
│ 312      │ discussion_success            │ 2021-03-15 14:41:08 │ 0     │ not interested             │
│ 313      │ leads_registered              │ 2021-03-01 15:10:30 │ 1     │                            │
│ 313      │ leads_qualification           │ 2021-03-08 11:55:53 │ 1     │                            │
│ 313      │ initial_communication_success │ 2021-03-09 17:29:47 │ 1     │                            │
│ 313      │ approach_success              │ 2021-03-11 17:08:11 │ 1     │                            │
│ 313      │ discussion_success            │ 2021-03-15 17:12:48 │ 0     │ not answered               │
│ 314      │ leads_registered              │ 2021-03-01 15:34:36 │ 1     │                            │
│ 314      │ leads_qualification           │ 2021-03-05 13:28:20 │ 1     │                            │
│ 314      │ initial_communication_success │ 2021-03-08 16:27:58 │ 1     │                            │
│ 314      │ approach_success              │ 2021-03-09 16:32:03 │ 1     │                            │
│ 314      │ discussion_success            │ 2021-03-12 17:05:49 │ 1     │                            │
│ 314      │ offer_sent                    │ 2021-03-16 16:25:07 │ 1     │                            │
│ 314      │ quotation_recieved            │ 2021-03-22 16:12:48 │ 1     │                            │
│ 314      │ deal_won                      │ 2021-03-29 15:15:22 │ 1     │                            │
│ 315      │ leads_registered              │ 2021-03-01 16:12:25 │ 1     │                            │
│ 315      │ leads_qualification           │ 2021-03-05 10:21:17 │ 1     │                            │
│ 315      │ initial_communication_success │ 2021-03-08 16:19:53 │ 1     │                            │
│ 315      │ approach_success              │ 2021-03-09 10:58:06 │ 0     │ not answered               │
│ 316      │ leads_registered              │ 2021-03-01 17:00:45 │ 1     │                            │
│ 316      │ leads_qualification           │ 2021-03-08 17:55:42 │ 1     │                            │
│ 316      │ initial_communication_success │ 2021-03-09 11:02:55 │ 1     │                            │
│ 316      │ approach_success              │ 2021-03-12 13:11:53 │ 1     │                            │
│ 316      │ discussion_success            │ 2021-03-18 17:33:25 │ 0     │ not interested             │
│ 317      │ leads_registered              │ 2021-03-01 17:48:47 │ 1     │                            │
│ 317      │ leads_qualification           │ 2021-03-05 11:38:51 │ 1     │                            │
│ 317      │ initial_communication_success │ 2021-03-08 17:35:45 │ 1     │                            │
│ 317      │ approach_success              │ 2021-03-11 14:41:49 │ 1     │                            │
│ 317      │ discussion_success            │ 2021-03-19 13:18:26 │ 1     │                            │
│ 317      │ offer_sent                    │ 2021-03-23 09:13:12 │ 1     │                            │
│ 317      │ quotation_recieved            │ 2021-03-30 09:50:23 │ 0     │ not answered               │
│ 318      │ leads_registered              │ 2021-03-02 09:21:16 │ 1     │                            │
│ 318      │ leads_qualification           │ 2021-03-08 11:17:48 │ 1     │                            │
│ 318      │ initial_communication_success │ 2021-03-09 11:20:10 │ 1     │                            │
│ 318      │ approach_success              │ 2021-03-10 11:29:46 │ 1     │                            │
│ 318      │ discussion_success            │ 2021-03-18 10:02:56 │ 1     │                            │
│ 318      │ offer_sent                    │ 2021-03-22 11:10:46 │ 1     │                            │
│ 318      │ quotation_recieved            │ 2021-03-29 10:44:28 │ 1     │                            │
│ 318      │ deal_won                      │ 2021-04-06 14:46:37 │ 1     │                            │
│ 319      │ leads_registered              │ 2021-03-02 09:29:01 │ 1     │                            │
│ 319      │ leads_qualification           │ 2021-03-09 12:33:19 │ 1     │                            │
│ 319      │ initial_communication_success │ 2021-03-11 13:12:42 │ 1     │                            │
│ 319      │ approach_success              │ 2021-03-12 12:36:41 │ 1     │                            │
│ 319      │ discussion_success            │ 2021-03-17 11:26:11 │ 1     │                            │
│ 319      │ offer_sent                    │ 2021-03-19 15:41:21 │ 0     │ not answered               │
│ 320      │ leads_registered              │ 2021-03-02 09:44:47 │ 1     │                            │
│ 320      │ leads_qualification           │ 2021-03-09 16:52:54 │ 1     │                            │
│ 320      │ initial_communication_success │ 2021-03-12 14:30:46 │ 1     │                            │
│ 320      │ approach_success              │ 2021-03-15 12:40:22 │ 1     │                            │
│ 320      │ discussion_success            │ 2021-03-22 14:53:00 │ 1     │                            │
│ 320      │ offer_sent                    │ 2021-03-24 14:59:11 │ 0     │ price not fit              │
│ 321      │ leads_registered              │ 2021-03-02 13:18:53 │ 1     │                            │
│ 322      │ leads_registered              │ 2021-03-02 13:29:50 │ 1     │                            │
│ 322      │ leads_qualification           │ 2021-03-05 09:31:53 │ 0     │ not selected               │
│ 323      │ leads_registered              │ 2021-03-02 16:07:29 │ 1     │                            │
│ 323      │ leads_qualification           │ 2021-03-08 17:11:52 │ 1     │                            │
│ 323      │ initial_communication_success │ 2021-03-10 09:10:29 │ 1     │                            │
│ 323      │ approach_success              │ 2021-03-11 11:17:50 │ 1     │                            │
│ 323      │ discussion_success            │ 2021-03-16 14:33:21 │ 1     │                            │
│ 323      │ offer_sent                    │ 2021-03-19 15:31:26 │ 1     │                            │
│ 323      │ quotation_recieved            │ 2021-03-26 10:22:47 │ 1     │                            │
│ 323      │ deal_won                      │ 2021-03-31 13:34:58 │ 1     │                            │
│ 324      │ leads_registered              │ 2021-03-02 17:29:29 │ 1     │                            │
│ 324      │ leads_qualification           │ 2021-03-05 14:03:45 │ 1     │                            │
│ 324      │ initial_communication_success │ 2021-03-08 17:49:30 │ 1     │                            │
│ 324      │ approach_success              │ 2021-03-09 17:24:54 │ 1     │                            │
│ 324      │ discussion_success            │ 2021-03-17 17:24:42 │ 0     │ not answered               │
│ 325      │ leads_registered              │ 2021-03-03 09:23:05 │ 1     │                            │
│ 325      │ leads_qualification           │ 2021-03-08 09:35:29 │ 1     │                            │
│ 325      │ initial_communication_success │ 2021-03-10 09:54:13 │ 0     │ not interested             │
│ 326      │ leads_registered              │ 2021-03-03 09:34:13 │ 1     │                            │
│ 326      │ leads_qualification           │ 2021-03-08 17:33:16 │ 1     │                            │
│ 326      │ initial_communication_success │ 2021-03-11 11:35:42 │ 1     │                            │
│ 326      │ approach_success              │ 2021-03-12 15:21:47 │ 1     │                            │
│ 326      │ discussion_success            │ 2021-03-19 16:02:56 │ 1     │                            │
│ 326      │ offer_sent                    │ 2021-03-23 14:06:19 │ 1     │                            │
│ 326      │ quotation_recieved            │ 2021-04-01 10:48:08 │ 0     │ price not fit              │
│ 327      │ leads_registered              │ 2021-03-03 13:41:14 │ 1     │                            │
│ 327      │ leads_qualification           │ 2021-03-08 10:33:07 │ 0     │ not selected               │
│ 328      │ leads_registered              │ 2021-03-03 14:50:06 │ 1     │                            │
│ 328      │ leads_qualification           │ 2021-03-08 15:15:21 │ 1     │                            │
│ 328      │ initial_communication_success │ 2021-03-09 09:54:10 │ 1     │                            │
│ 328      │ approach_success              │ 2021-03-10 09:23:09 │ 1     │                            │
│ 328      │ discussion_success            │ 2021-03-16 10:31:59 │ 1     │                            │
│ 328      │ offer_sent                    │ 2021-03-17 17:30:06 │ 0     │ not answered               │
│ 329      │ leads_registered              │ 2021-03-03 16:06:55 │ 1     │                            │
│ 329      │ leads_qualification           │ 2021-03-08 09:31:01 │ 1     │                            │
│ 329      │ initial_communication_success │ 2021-03-10 17:30:38 │ 1     │                            │
│ 329      │ approach_success              │ 2021-03-11 09:16:58 │ 1     │                            │
│ 329      │ discussion_success            │ 2021-03-16 15:37:16 │ 1     │                            │
│ 329      │ offer_sent                    │ 2021-03-17 10:04:56 │ 1     │                            │
│ 329      │ quotation_recieved            │ 2021-03-26 13:37:58 │ 1     │                            │
│ 329      │ deal_won                      │ 2021-04-02 17:24:05 │ 1     │                            │
│ 330      │ leads_registered              │ 2021-03-03 16:32:57 │ 1     │                            │
│ 330      │ leads_qualification           │ 2021-03-08 09:19:45 │ 1     │                            │
│ 330      │ initial_communication_success │ 2021-03-11 10:53:03 │ 0     │ not answered               │
│ 331      │ leads_registered              │ 2021-03-03 17:20:36 │ 1     │                            │
│ 332      │ leads_registered              │ 2021-03-03 17:37:18 │ 1     │                            │
│ 332      │ leads_qualification           │ 2021-03-08 11:23:53 │ 0     │ not selected               │
│ 333      │ leads_registered              │ 2021-03-04 09:42:48 │ 1     │                            │
│ 333      │ leads_qualification           │ 2021-03-10 11:23:38 │ 1     │                            │
│ 333      │ initial_communication_success │ 2021-03-12 17:15:45 │ 1     │                            │
│ 333      │ approach_success              │ 2021-03-15 10:37:09 │ 1     │                            │
│ 333      │ discussion_success            │ 2021-03-23 09:30:49 │ 1     │                            │
│ 333      │ offer_sent                    │ 2021-03-25 16:13:18 │ 1     │                            │
│ 333      │ quotation_recieved            │ 2021-04-02 16:04:47 │ 1     │                            │
│ 333      │ deal_won                      │ 2021-04-05 17:40:30 │ 1     │                            │
│ 334      │ leads_registered              │ 2021-03-04 10:39:55 │ 1     │                            │
│ 334      │ leads_qualification           │ 2021-03-09 13:18:49 │ 1     │                            │
│ 334      │ initial_communication_success │ 2021-03-12 16:45:53 │ 1     │                            │
│ 334      │ approach_success              │ 2021-03-15 12:14:06 │ 1     │                            │
│ 334      │ discussion_success            │ 2021-03-19 14:18:32 │ 0     │ not interested             │
│ 335      │ leads_registered              │ 2021-03-04 10:48:53 │ 1     │                            │
│ 335      │ leads_qualification           │ 2021-03-09 12:45:22 │ 1     │                            │
│ 335      │ initial_communication_success │ 2021-03-10 15:08:53 │ 1     │                            │
│ 335      │ approach_success              │ 2021-03-11 13:25:55 │ 1     │                            │
│ 335      │ discussion_success            │ 2021-03-17 17:06:42 │ 1     │                            │
│ 335      │ offer_sent                    │ 2021-03-18 09:40:59 │ 1     │                            │
│ 335      │ quotation_recieved            │ 2021-03-23 10:38:14 │ 0     │ price not fit              │
│ 336      │ leads_registered              │ 2021-03-04 11:22:19 │ 1     │                            │
│ 336      │ leads_qualification           │ 2021-03-10 11:06:04 │ 1     │                            │
│ 336      │ initial_communication_success │ 2021-03-11 09:52:59 │ 1     │                            │
│ 336      │ approach_success              │ 2021-03-12 12:31:57 │ 1     │                            │
│ 336      │ discussion_success            │ 2021-03-19 16:08:34 │ 1     │                            │
│ 336      │ offer_sent                    │ 2021-03-23 09:02:11 │ 0     │ not interested             │
│ 337      │ leads_registered              │ 2021-03-04 14:39:00 │ 1     │                            │
│ 337      │ leads_qualification           │ 2021-03-08 17:59:34 │ 1     │                            │
│ 337      │ initial_communication_success │ 2021-03-09 10:58:47 │ 1     │                            │
│ 337      │ approach_success              │ 2021-03-12 13:53:05 │ 1     │                            │
│ 337      │ discussion_success            │ 2021-03-19 11:23:40 │ 1     │                            │
│ 337      │ offer_sent                    │ 2021-03-23 16:52:35 │ 1     │                            │
│ 337      │ quotation_recieved            │ 2021-03-29 14:41:56 │ 1     │                            │
│ 337      │ deal_won                      │ 2021-04-01 13:34:36 │ 1     │                            │
│ 338      │ leads_registered              │ 2021-03-04 14:57:01 │ 1     │                            │
│ 338      │ leads_qualification           │ 2021-03-08 16:27:59 │ 1     │                            │
│ 338      │ initial_communication_success │ 2021-03-09 09:11:46 │ 1     │                            │
│ 338      │ approach_success              │ 2021-03-11 11:14:35 │ 1     │                            │
│ 338      │ discussion_success            │ 2021-03-16 10:49:49 │ 1     │                            │
│ 338      │ offer_sent                    │ 2021-03-18 16:51:37 │ 1     │                            │
│ 338      │ quotation_recieved            │ 2021-03-26 16:26:21 │ 1     │                            │
│ 338      │ deal_won                      │ 2021-04-02 15:14:03 │ 1     │                            │
│ 339      │ leads_registered              │ 2021-03-04 17:50:31 │ 1     │                            │
│ 339      │ leads_qualification           │ 2021-03-08 17:25:26 │ 1     │                            │
│ 339      │ initial_communication_success │ 2021-03-11 11:05:24 │ 1     │                            │
│ 339      │ approach_success              │ 2021-03-12 11:49:15 │ 1     │                            │
│ 339      │ discussion_success            │ 2021-03-17 15:20:09 │ 1     │                            │
│ 339      │ offer_sent                    │ 2021-03-19 16:00:01 │ 1     │                            │
│ 339      │ quotation_recieved            │ 2021-03-25 09:04:43 │ 1     │                            │
│ 339      │ deal_won                      │ 2021-04-01 11:27:43 │ 1     │                            │
│ 340      │ leads_registered              │ 2021-03-05 09:18:25 │ 1     │                            │
│ 340      │ leads_qualification           │ 2021-03-09 13:59:07 │ 1     │                            │
│ 340      │ initial_communication_success │ 2021-03-12 17:10:03 │ 1     │                            │
│ 340      │ approach_success              │ 2021-03-15 11:51:33 │ 1     │                            │
│ 340      │ discussion_success            │ 2021-03-24 16:42:23 │ 1     │                            │
│ 340      │ offer_sent                    │ 2021-03-25 10:00:40 │ 1     │                            │
│ 340      │ quotation_recieved            │ 2021-04-02 15:48:55 │ 1     │                            │
│ 340      │ deal_won                      │ 2021-04-07 09:22:51 │ 1     │                            │
│ 341      │ leads_registered              │ 2021-03-05 09:27:29 │ 1     │                            │
│ 341      │ leads_qualification           │ 2021-03-09 10:46:46 │ 0     │ not selected               │
│ 342      │ leads_registered              │ 2021-03-05 10:18:56 │ 1     │                            │
│ 342      │ leads_qualification           │ 2021-03-09 17:13:08 │ 1     │                            │
│ 342      │ initial_communication_success │ 2021-03-10 09:06:34 │ 1     │                            │
│ 342      │ approach_success              │ 2021-03-11 16:19:26 │ 1     │                            │
│ 342      │ discussion_success            │ 2021-03-19 13:06:46 │ 0     │ price not fit              │
│ 343      │ leads_registered              │ 2021-03-05 10:27:32 │ 1     │                            │
│ 343      │ leads_qualification           │ 2021-03-12 17:32:21 │ 0     │ not selected               │
│ 344      │ leads_registered              │ 2021-03-05 10:29:16 │ 1     │                            │
│ 344      │ leads_qualification           │ 2021-03-09 17:30:54 │ 1     │                            │
│ 344      │ initial_communication_success │ 2021-03-10 17:56:34 │ 1     │                            │
│ 344      │ approach_success              │ 2021-03-11 09:27:27 │ 1     │                            │
│ 344      │ discussion_success            │ 2021-03-18 16:30:54 │ 0     │ price not fit              │
│ 345      │ leads_registered              │ 2021-03-05 10:59:16 │ 1     │                            │
│ 345      │ leads_qualification           │ 2021-03-09 15:48:47 │ 1     │                            │
│ 345      │ initial_communication_success │ 2021-03-12 17:42:44 │ 1     │                            │
│ 345      │ approach_success              │ 2021-03-15 09:38:50 │ 1     │                            │
│ 345      │ discussion_success            │ 2021-03-23 14:03:06 │ 1     │                            │
│ 345      │ offer_sent                    │ 2021-03-24 16:11:22 │ 1     │                            │
│ 345      │ quotation_recieved            │ 2021-03-31 10:17:23 │ 1     │                            │
│ 345      │ deal_won                      │ 2021-04-07 16:31:09 │ 1     │                            │
│ 346      │ leads_registered              │ 2021-03-05 10:59:23 │ 1     │                            │
│ 346      │ leads_qualification           │ 2021-03-09 15:16:23 │ 1     │                            │
│ 346      │ initial_communication_success │ 2021-03-12 16:11:16 │ 1     │                            │
│ 346      │ approach_success              │ 2021-03-15 13:51:14 │ 1     │                            │
│ 346      │ discussion_success            │ 2021-03-23 16:06:02 │ 1     │                            │
│ 346      │ offer_sent                    │ 2021-03-24 09:37:17 │ 1     │                            │
│ 346      │ quotation_recieved            │ 2021-04-02 16:10:48 │ 0     │ not answered               │
│ 347      │ leads_registered              │ 2021-03-05 12:30:54 │ 1     │                            │
│ 347      │ leads_qualification           │ 2021-03-08 13:22:20 │ 1     │                            │
│ 347      │ initial_communication_success │ 2021-03-09 17:58:05 │ 0     │ not answered               │
│ 348      │ leads_registered              │ 2021-03-05 17:23:53 │ 1     │                            │
│ 348      │ leads_qualification           │ 2021-03-12 10:35:06 │ 1     │                            │
│ 348      │ initial_communication_success │ 2021-03-15 09:05:04 │ 0     │ not answered               │
│ 349      │ leads_registered              │ 2021-03-08 09:11:34 │ 1     │                            │
│ 350      │ leads_registered              │ 2021-03-08 10:39:52 │ 1     │                            │
│ 350      │ leads_qualification           │ 2021-03-11 17:45:14 │ 1     │                            │
│ 350      │ initial_communication_success │ 2021-03-12 12:17:27 │ 1     │                            │
│ 350      │ approach_success              │ 2021-03-15 11:50:05 │ 1     │                            │
│ 350      │ discussion_success            │ 2021-03-22 09:21:45 │ 1     │                            │
│ 350      │ offer_sent                    │ 2021-03-23 17:12:15 │ 1     │                            │
│ 350      │ quotation_recieved            │ 2021-03-30 17:39:32 │ 1     │                            │
│ 350      │ deal_won                      │ 2021-04-02 17:18:27 │ 1     │                            │
│ 351      │ leads_registered              │ 2021-03-08 10:59:34 │ 1     │                            │
│ 351      │ leads_qualification           │ 2021-03-12 16:23:41 │ 1     │                            │
│ 351      │ initial_communication_success │ 2021-03-15 17:41:32 │ 1     │                            │
│ 351      │ approach_success              │ 2021-03-16 13:05:14 │ 1     │                            │
│ 351      │ discussion_success            │ 2021-03-24 16:33:41 │ 1     │                            │
│ 351      │ offer_sent                    │ 2021-03-25 09:04:41 │ 1     │                            │
│ 351      │ quotation_recieved            │ 2021-04-02 11:03:56 │ 1     │                            │
│ 351      │ deal_won                      │ 2021-04-08 14:54:56 │ 1     │                            │
│ 352      │ leads_registered              │ 2021-03-08 11:10:15 │ 1     │                            │
│ 353      │ leads_registered              │ 2021-03-08 13:01:51 │ 1     │                            │
│ 353      │ leads_qualification           │ 2021-03-12 10:26:31 │ 1     │                            │
│ 353      │ initial_communication_success │ 2021-03-15 11:50:23 │ 1     │                            │
│ 353      │ approach_success              │ 2021-03-16 13:40:32 │ 1     │                            │
│ 353      │ discussion_success            │ 2021-03-24 10:36:39 │ 0     │ price not fit              │
│ 354      │ leads_registered              │ 2021-03-08 13:50:06 │ 1     │                            │
│ 354      │ leads_qualification           │ 2021-03-15 11:12:54 │ 1     │                            │
│ 354      │ initial_communication_success │ 2021-03-16 13:28:50 │ 1     │                            │
│ 354      │ approach_success              │ 2021-03-17 10:27:28 │ 0     │ not answered               │
│ 355      │ leads_registered              │ 2021-03-08 15:33:28 │ 1     │                            │
│ 355      │ leads_qualification           │ 2021-03-12 12:47:04 │ 1     │                            │
│ 355      │ initial_communication_success │ 2021-03-15 13:41:13 │ 1     │                            │
│ 355      │ approach_success              │ 2021-03-16 12:03:33 │ 1     │                            │
│ 355      │ discussion_success            │ 2021-03-22 16:16:55 │ 1     │                            │
│ 355      │ offer_sent                    │ 2021-03-26 09:09:31 │ 1     │                            │
│ 355      │ quotation_recieved            │ 2021-04-02 09:55:54 │ 1     │                            │
│ 355      │ deal_won                      │ 2021-04-06 09:38:16 │ 1     │                            │
│ 356      │ leads_registered              │ 2021-03-08 16:05:59 │ 1     │                            │
│ 356      │ leads_qualification           │ 2021-03-15 11:30:55 │ 0     │ not selected               │
│ 357      │ leads_registered              │ 2021-03-08 16:45:07 │ 1     │                            │
│ 357      │ leads_qualification           │ 2021-03-12 09:17:15 │ 1     │                            │
│ 357      │ initial_communication_success │ 2021-03-15 11:04:14 │ 1     │                            │
│ 357      │ approach_success              │ 2021-03-16 12:28:42 │ 1     │                            │
│ 357      │ discussion_success            │ 2021-03-19 17:30:32 │ 1     │                            │
│ 357      │ offer_sent                    │ 2021-03-22 09:27:16 │ 1     │                            │
│ 357      │ quotation_recieved            │ 2021-03-26 10:44:40 │ 0     │ not answered               │
│ 358      │ leads_registered              │ 2021-03-08 17:17:20 │ 1     │                            │
│ 358      │ leads_qualification           │ 2021-03-12 14:56:00 │ 1     │                            │
│ 358      │ initial_communication_success │ 2021-03-15 14:11:52 │ 1     │                            │
│ 358      │ approach_success              │ 2021-03-17 10:21:40 │ 1     │                            │
│ 358      │ discussion_success            │ 2021-03-22 10:24:35 │ 1     │                            │
│ 358      │ offer_sent                    │ 2021-03-24 12:06:33 │ 0     │ price not fit              │
